key,date,value01risk,value02risk,value03risk,value04risk,value05risk,value06risk,value07risk,value01ind,value02ind,value03ind,value04ind,value05ind,value06ind,value07ind,deaths01,deaths02,deaths03,deaths04,deaths05,deaths06,deaths07,illnesses01,illnesses02,illnesses03,illnesses04,illnesses05,illnesses06,illnesses07,disruption01,disruption02,disruption03,disruption04,disruption05,disruption06,disruption07
heat,2059,59.7,51.4,81.4,47.4,72.1,57.3,82,0,0,0,0,0,0,0,46.9,39.2,62.7,36,55.4,43.8,63.2,109.7,91.6,146.7,84.2,129.6,102.4,147.8,3.92,3.13,5.1,2.87,4.49,3.52,5.14
heat,2060,60.7,52.2,82.9,47.9,73.5,58.2,83.8,0,0,0,0,0,0,0,47.8,39.8,64,36.4,56.6,44.5,64.7,111.8,93.1,149.8,85.2,132.5,104.1,151.4,4,3.18,5.2,2.9,4.58,3.57,5.26
heat,2061,61.7,52.9,84.5,48.4,75,59,85.6,0,0,0,0,0,0,0,48.7,40.4,65.4,36.8,57.9,45.2,66.3,114,94.6,152.9,86.2,135.3,105.8,155,4.07,3.22,5.31,2.92,4.68,3.62,5.38
heat,2062,62.7,53.7,86.1,48.9,76.5,59.9,87.5,0,0,0,0,0,0,0,49.6,41.1,66.7,37.3,59.1,46,67.8,116.1,96.1,156.1,87.2,138.2,107.6,158.6,4.14,3.27,5.41,2.95,4.77,3.68,5.5
heat,2063,63.8,54.5,87.7,49.4,77.9,60.8,89.4,0,0,0,0,0,0,0,50.6,41.7,68.1,37.7,60.3,46.8,69.4,118.3,97.6,159.3,88.2,141.2,109.4,162.3,4.21,3.32,5.51,2.98,4.87,3.73,5.62
heat,2064,64.8,55.2,89.3,49.9,79.4,61.7,91.2,0,0,0,0,0,0,0,51.5,42.4,69.5,38.1,61.6,47.5,71,120.5,99.2,162.5,89.2,144.1,111.2,166.1,4.29,3.36,5.62,3.01,4.96,3.79,5.74
heat,2065,65.9,56,91,50.4,80.9,62.6,93.1,0,0,0,0,0,0,0,52.5,43.1,70.9,38.6,62.9,48.3,72.6,122.8,100.8,165.8,90.2,147.1,113,169.9,4.36,3.41,5.72,3.04,5.06,3.85,5.87
heat,2066,67,56.8,92.6,50.9,82.4,63.5,95.1,0,0,0,0,0,0,0,53.5,43.8,72.3,39,64.2,49.1,74.3,125,102.4,169.1,91.2,150.2,114.8,173.7,4.44,3.46,5.83,3.07,5.16,3.9,5.99
heat,2067,68.1,57.6,94.3,51.4,84,64.4,97,0,0,0,0,0,0,0,54.4,44.5,73.8,39.5,65.5,49.9,75.9,127.3,104,172.5,92.3,153.2,116.7,177.6,4.51,3.51,5.94,3.1,5.26,3.96,6.12
heat,2068,69.2,58.4,96,51.9,85.5,65.3,99,0,0,0,0,0,0,0,55.4,45.2,75.2,39.9,66.8,50.7,77.6,129.7,105.6,175.9,93.3,156.3,118.5,181.6,4.59,3.56,6.05,3.13,5.36,4.02,6.25
